polkit-gnome 0.105-11
protobuf 28.3-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0-3
python-pip 24.3.1-1
python-pyqt5 5.15.11-1
python-pyqt5-webengine 5.15.7-1
python-pywal 3.3.0-9
python-screeninfo 0.8.1-2
python-terminaltexteffects 0.11.0-1
qemu-full 9.1.2-1
qt5-wayland 5.15.16+kde+r59-3
qt6ct 0.9-12
rdma-core 54.0-1
reflector 2023-2
ripgrep 14.1.1-1
riscv64-linux-gnu-binutils 2.43.1-1
riscv64-linux-gnu-gcc 14.2.0-1
riscv64-linux-gnu-gdb 15.1-1
rofi-wayland 1.7.5+wayland3-2
seatd 0.9.1-1
shadowsocks 3.0.0a.20180219-7
slurp 1.5.0-1
smartmontools 7.4-2
sof-firmware 2024.09.2-1
spotify 1:1.2.50.335-1
steam 1.0.0.81-2
stm32cubemx 6.13.0-1
strace 6.12-1
swaybg 1.2.1-1
tree 2.1.3-1
tree-sitter-cli 0.24.3-1
ttf-0xproto-nerd 3.3.0-1
ttf-3270-nerd 3.3.0-1
ttf-agave-nerd 3.3.0-1
ttf-anonymouspro-nerd 3.3.0-1
ttf-arimo-nerd 3.3.0-1
ttf-bigblueterminal-nerd 3.3.0-1
ttf-bitstream-vera-mono-nerd 3.3.0-1
ttf-cascadia-code-nerd 3.3.0-1
ttf-cascadia-mono-nerd 3.3.0-1
ttf-cousine-nerd 3.3.0-1
ttf-d2coding-nerd 3.3.0-1
ttf-daddytime-mono-nerd 3.3.0-1
ttf-dejavu-nerd 3.3.0-1
ttf-envycoder-nerd 3.3.0-1
ttf-fantasque-nerd 3.3.0-1
ttf-fira-code 6.2-2
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.3.0-1
ttf-go-nerd 3.3.0-1
ttf-gohu-nerd 3.3.0-1
ttf-hack-nerd 3.3.0-1
ttf-heavydata-nerd 3.3.0-1
ttf-iawriter-nerd 3.3.0-1
ttf-ibmplex-mono-nerd 3.3.0-1
ttf-inconsolata-go-nerd 3.3.0-1
ttf-inconsolata-lgc-nerd 3.3.0-1
ttf-inconsolata-nerd 3.3.0-1
ttf-intone-nerd 3.3.0-1
ttf-iosevka-nerd 3.3.0-1
ttf-iosevkaterm-nerd 3.3.0-1
ttf-iosevkatermslab-nerd 3.3.0-1
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-lekton-nerd 3.3.0-1
ttf-liberation-mono-nerd 3.3.0-1
ttf-lilex-nerd 3.3.0-1
ttf-martian-mono-nerd 3.3.0-1
ttf-meslo-nerd 3.3.0-1
ttf-monofur-nerd 3.3.0-1
ttf-monoid-nerd 3.3.0-1
ttf-mononoki-nerd 3.3.0-1
ttf-mplus-nerd 3.3.0-1
ttf-nerd-fonts-symbols 3.3.0-1
ttf-nerd-fonts-symbols-mono 3.3.0-1
ttf-noto-nerd 3.3.0-1
ttf-profont-nerd 3.3.0-1
ttf-proggyclean-nerd 3.3.0-1
ttf-recursive-nerd 3.3.0-1
ttf-roboto-mono-nerd 3.3.0-1
ttf-sharetech-mono-nerd 3.3.0-1
ttf-sourcecodepro-nerd 3.3.0-1
ttf-space-mono-nerd 3.3.0-1
ttf-terminus-nerd 3.3.0-1
ttf-tinos-nerd 3.3.0-1
ttf-ubuntu-mono-nerd 3.3.0-1
ttf-ubuntu-nerd 3.3.0-1
ttf-victor-mono-nerd 3.3.0-1
ttf-zed-mono-nerd 3.3.0-1
tumbler 4.18.2-3
udiskie 2.5.3-1
valgrind 3.24.0-1
vim 9.1.0866-1
virt-install 4.1.0-3
vulkan-intel 1:24.3.1-1
vulkan-radeon 1:24.3.1-1
waybar 0.11.0-4
waydroid 1.4.3-1
wayland-protocols 1.38-1
waypaper 2.4-1
wechat 4.0.0.30-1
wget 1.25.0-1
wireless_tools 30.pre9-4
wireplumber 0.5.7-1
wlogout 1.2.2-0
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.1-2
xdg-utils 1.2.1-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xf86-video-vmware 13.4.0-3
xmake 2.9.6-1
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
yay 12.4.2-1
yay-debug 12.4.2-1
zram-generator 1.1.2-1
zsh 5.9-5
zsh-completions 0.35.0-2
